Date, Open, High, Low, Close, Volume
8/11/2016,289.67,289.71,288.36,289.16,2771.999839
8/10/2016,291.12,295.56,288.89,289.76,204974.9881
8/9/2016,283.46,294.44,283.46,294.43,33146.99808
8/8/2016,292.78,294.44,291.22,293.87,26549.99846
8/4/2016,290.56,293.22,290.37,292.53,97172.99436
8/3/2016,292.22,292.56,290.22,291.91,21491.99875
8/2/2016,292.78,294.89,292.56,294.44,27953.99838
8/1/2016,294.44,294.44,292.22,292.47,58769.99659
7/28/2016,305.22,305.22,294.56,294.88,4526.999737
7/27/2016,302.11,302.22,293.94,294.5,248993.9856
7/26/2016,294.44,294.44,290.56,294.22,29861.99827
7/25/2016,293.44,294.67,291.13,294.43,133235.9923
7/21/2016,297.24,297.78,292.22,292.93,14615.99915
7/20/2016,294.67,297.78,294.56,297.07,2330.999865
7/19/2016,294.44,295.67,294.44,294.48,2375.999862
7/18/2016,294.44,295.56,293.33,294.44,5084.999705
7/14/2016,298.22,300,298.09,298.2,163385.9905
7/13/2016,298.89,298.89,298.22,298.24,28592.99834
7/12/2016,298.24,300,297.33,298.23,3122.999819
7/11/2016,298.11,298.89,297.78,298.11,1511.999912
6/30/2016,299.89,300,299.89,300,22391.9987
6/29/2016,296.67,300,296.67,299.99,38852.99775
6/28/2016,298.76,298.76,296.89,298.76,6263.999637
6/27/2016,299.78,299.78,297.89,298.76,10259.9994
6/23/2016,296.67,297.77,296.11,297.14,1097.999936
6/22/2016,299.44,299.44,298.52,298.54,755.9999562
6/21/2016,299.99,300,298.11,298.52,332.9999807
6/20/2016,302.22,302.22,299.56,300.41,10214.99941
6/16/2016,300.61,301.11,300.61,300.69,3347.999806
6/15/2016,300.47,301.11,300.44,300.94,22058.99872
6/14/2016,304.44,304.44,300.44,300.81,9773.999433
6/13/2016,299,301.11,299,300.12,5813.999663
6/9/2016,297,304.44,297,304.38,182006.9894
6/8/2016,297.78,299.89,297.78,299.2,2312.999866
6/7/2016,298.9,298.9,297.78,298.19,1664.999903
6/6/2016,295.11,301.11,295.11,300.97,203093.9882
6/2/2016,294.5,298.33,294.5,297.92,2564.999851
6/1/2016,291.12,300,291.11,297.26,3086.999821
5/31/2016,291.67,293.33,290,291.64,845.9999509
5/30/2016,295.44,295.44,291.44,291.79,1061.999938
5/26/2016,296.49,296.49,293.44,294.94,242.9999859
5/25/2016,295.11,297.22,292.82,293.11,33398.99806
5/24/2016,294.67,296.11,294.44,294.66,10511.99939
5/19/2016,295.68,299.89,295.02,296.27,9143.99947
5/18/2016,300,301.39,298.89,300,271979.9842
5/17/2016,301.11,301.67,298.89,300.37,5912.999657
5/16/2016,300,300,297.78,297.94,2717.999842
5/12/2016,301.77,301.88,301.11,301.66,1214.99993
5/11/2016,296.11,301.11,296.11,300.08,389654.9774
5/10/2016,295.62,303.31,295.62,301.16,7136.999586
5/9/2016,296.67,301.23,294.67,299.29,3995.999768
5/5/2016,301.22,301.22,298,300,4211.999756
5/4/2016,294.69,303.21,294.69,299.24,2186.999873
